country,capital,elev_m,elev_ft
Gambia,Banjul,0,0
Guinea,Conakry,0,0
Guinea-Bissau,Bissau,0,0
Liberia,Monrovia,0,0
Seychelles,Victoria,0,0
Tunisia,Tunis,0,0
Fiji,Suva,0,0
Kiribati,Bairiki,0,0
Samoa,Apia,0,0
Tonga,Nuku'alofa,0,0
Tuvalu,Vaiaku,0,0
Vanuatu,Port Vila,0,0
Netherlands,Amsterdam,-2,-7
Azerbaijan,Baku,-28,-92
Yugoslavia,Belgrade,384,117
